iter	Recall	Logloss
0	0.6129823203	0.6563260837
1	0.7028003613	0.624541265
2	0.7044779972	0.5990538133
3	0.7068008775	0.5751741805
4	0.6907988128	0.5580989032
5	0.6794425087	0.5426730158
6	0.6994450897	0.5309002954
7	0.6963479159	0.518909466
8	0.700477481	0.5088019213
9	0.6999612853	0.5017007997
10	0.696089818	0.4942893077
11	0.6920893018	0.4898136064
12	0.6986707962	0.4850200706
13	0.6973803071	0.48044325
14	0.6949283779	0.4763351243
15	0.6977674539	0.4731451542
16	0.696089818	0.4699150597
17	0.7011227255	0.4667403353
18	0.7052522906	0.4636656175
19	0.7060265841	0.4606805619
20	0.7055103884	0.4583888066
21	0.7013808233	0.4561225309
22	0.7049941928	0.4526195203
23	0.7092528068	0.4502199612
24	0.7038327526	0.44866768
25	0.7037037037	0.4468918558
26	0.7016389212	0.4453461748
27	0.7030584592	0.4436128628
28	0.7070589754	0.4425308701
29	0.7082204155	0.440995968
30	0.704736095	0.4396521533
31	0.7055103884	0.438572832
32	0.7074461221	0.4373621057
33	0.7098980514	0.436541681
34	0.7110594915	0.4353092045
35	0.7135114208	0.4342552812
36	0.7148019099	0.4332750641
37	0.7119628339	0.4320264138
38	0.7141566654	0.4306641502
39	0.7123499806	0.429742747
40	0.7151890567	0.4289316683
41	0.7168666925	0.4279933815
42	0.7199638663	0.427257791
43	0.7226738934	0.4266270299
44	0.7242224803	0.4259793613
45	0.7257710672	0.4254504237
46	0.7299006323	0.424929072
47	0.7344173442	0.4242943657
48	0.7326106594	0.4231879077
49	0.7319654149	0.4227430855
50	0.7314492193	0.4225293499
51	0.7324816105	0.4219342724
52	0.7337720996	0.4214927676
53	0.7344173442	0.4210665283
54	0.7335140018	0.4207366672
55	0.7327397083	0.4204047573
56	0.7340301974	0.4200381128
57	0.7354497354	0.4195368613
58	0.7372564202	0.4190576284
59	0.738934056	0.4186752206
60	0.7395793006	0.4182938077
61	0.7390631049	0.4177839479
62	0.7395793006	0.4172356674
63	0.7406116918	0.4169392441
64	0.7411278875	0.416527846
65	0.7424183766	0.4162065008
66	0.7438379146	0.4157247262
67	0.7440960124	0.415447139
68	0.7433217189	0.4146361408
69	0.7448703058	0.4142532214
70	0.7464188928	0.4137716903
71	0.7465479417	0.4134376476
72	0.7492579688	0.4128958162
73	0.75029036	0.4125529845
74	0.7509356046	0.4121380158
75	0.7513227513	0.4119061421
76	0.7513227513	0.4114741271
77	0.7517098981	0.4110645896
78	0.7517098981	0.4105821339
79	0.7527422893	0.4103266417
80	0.7535165828	0.4101114437
81	0.7542908762	0.4097527678
82	0.754678023	0.40918848
83	0.7548070719	0.4089071738
84	0.7555813653	0.4085612202
85	0.7558394632	0.4082199507
86	0.7558394632	0.4078767892
87	0.756097561	0.4076488526
88	0.7559685121	0.4071709837
89	0.7566137566	0.4069016338
90	0.7564847077	0.4065769783
91	0.7577751968	0.4062274795
92	0.7580332946	0.4059893064
93	0.7586785392	0.4056758461
94	0.7593237837	0.4052637266
95	0.7598399794	0.4050440293
96	0.7595818815	0.4047534702
97	0.7595818815	0.404206657
98	0.7611304684	0.4040091866
99	0.7622919086	0.4037759203
100	0.7624209575	0.4034104641
101	0.7629371532	0.4032002648
102	0.7637114466	0.4027696628
103	0.7642276423	0.4024239895
104	0.7640985934	0.4022417261
105	0.7650019357	0.4019768393
106	0.7661633759	0.4016257167
107	0.7675829139	0.4011405162
108	0.7679700607	0.4010327122
109	0.7680991096	0.4006894639
110	0.7683572074	0.400532425
111	0.7686153052	0.40028993
112	0.7686153052	0.4000674798
113	0.7695186476	0.3996364102
114	0.7697767454	0.3994371518
115	0.7692605497	0.3992269282
116	0.7693895987	0.398833208
117	0.7693895987	0.3985979891
118	0.7697767454	0.3984027389
119	0.770292941	0.3978364156
120	0.7709381856	0.3975842612
121	0.7719705768	0.3973259981
122	0.773132017	0.3970194653
123	0.7736482127	0.3966963527
124	0.7736482127	0.39638665
125	0.7739063105	0.3960881299
126	0.7740353594	0.3957730085
127	0.7742934572	0.3955793206
128	0.7753258485	0.3952231278
129	0.7754548974	0.3948850704
130	0.7751967996	0.3943749406
131	0.7748096529	0.394091348
132	0.7744225061	0.3938126076
133	0.774551555	0.3935977118
134	0.7746806039	0.3933069974
135	0.7750677507	0.3930891519
136	0.7748096529	0.3928135452
137	0.7746806039	0.392486544
138	0.7750677507	0.3923663517
139	0.776100142	0.3921514911
140	0.7763582398	0.3919431041
141	0.7780358756	0.3915718525
142	0.7779068267	0.3913175156
143	0.7791973158	0.3909947872
144	0.7799716092	0.390749903
145	0.7802297071	0.390546189
146	0.781778294	0.3903146445
147	0.7824235385	0.390105661
148	0.7819073429	0.3899547735
149	0.7816492451	0.3896158416
150	0.7828106852	0.3890952877
151	0.7829397342	0.388834955
152	0.7835849787	0.3885922477
153	0.7843592722	0.3883441132
154	0.7850045167	0.3880491049
155	0.7852626145	0.3877996526
156	0.7850045167	0.3876544588
157	0.7855207123	0.3873959286
158	0.7859078591	0.3872014916
159	0.7859078591	0.3869275794
160	0.7866821525	0.3867063193
161	0.7869402504	0.3866065615
162	0.7868112014	0.3864185533
163	0.7875854949	0.3862151583
164	0.7883597884	0.385911814
165	0.7887469351	0.3856490139
166	0.7887469351	0.3854495159
167	0.7887469351	0.3852915859
168	0.7895212285	0.38511785
169	0.7905536198	0.3845840747
170	0.7909407666	0.3844368028
171	0.7911988644	0.3842085609
172	0.7918441089	0.383986935
173	0.7923603046	0.3837601745
174	0.7921022067	0.3835968344
175	0.7928765002	0.3832885123
176	0.7926184024	0.3829513844
177	0.7930055491	0.3827842738
178	0.7933926958	0.3825808064
179	0.7941669893	0.3823281903
180	0.7940379404	0.382177005
181	0.7948122338	0.3819634273
182	0.7942960382	0.3817670046
183	0.7939088915	0.3816367995
184	0.7944250871	0.3814608142
185	0.7946831849	0.3813600469
186	0.7955865273	0.3810691931
187	0.7957155762	0.3809233528
188	0.7955865273	0.3806899554
189	0.7957155762	0.3805301455
190	0.7958446251	0.3801828728
191	0.7970060653	0.3798062696
192	0.7972641631	0.3795780451
193	0.7971351142	0.3793515131
194	0.7975222609	0.3788965268
195	0.7968770164	0.3787207019
196	0.7968770164	0.3785441922
197	0.7975222609	0.3783842416
198	0.7977803588	0.3781595943
199	0.7984256033	0.377924748
200	0.7989417989	0.3776161033
201	0.800232288	0.3772232132
202	0.8003613369	0.3768992112
203	0.7998451413	0.3764588958
204	0.8006194348	0.3762534067
205	0.8006194348	0.3759392014
206	0.8010065815	0.3756721174
207	0.8007484837	0.3755483128
208	0.8007484837	0.3753839613
209	0.8008775326	0.3750714033
210	0.8008775326	0.3748777338
211	0.8010065815	0.3745776586
212	0.8015227771	0.3743230407
213	0.801651826	0.374045284
214	0.8029423151	0.3738349379
215	0.8022970706	0.3735553429
216	0.8025551684	0.3733100009
217	0.8026842173	0.3731376842
218	0.803200413	0.3729713963
219	0.803200413	0.3727640383
220	0.8033294619	0.3725581494
221	0.8038456575	0.3722120761
222	0.8038456575	0.3718719018
223	0.8048780488	0.3715756818
224	0.8053942444	0.3712176897
225	0.8062975868	0.3708939731
226	0.8066847335	0.3707071831
227	0.8062975868	0.370310992
228	0.8064266357	0.3700416926
229	0.8070718802	0.3697869683
230	0.8072009292	0.3696101916
231	0.8081042715	0.3693692631
232	0.8082333204	0.3690721658
233	0.8091366628	0.3688719978
234	0.8092657117	0.368493073
235	0.8099109563	0.3681903348
236	0.8104271519	0.3678847342
237	0.8104271519	0.3676966016
238	0.8108142986	0.3675143398
239	0.8115885921	0.3671702825
240	0.8124919344	0.3668581074
241	0.8118466899	0.3663476481
242	0.8123628855	0.3662340596
243	0.8124919344	0.3659773044
244	0.8126209834	0.3657171546
245	0.8130081301	0.3654963954
246	0.8132662279	0.3652344208
247	0.8139114724	0.3651081889
248	0.8141695703	0.3648227216
249	0.8146857659	0.3646705244
250	0.8152019615	0.3644998141
251	0.8153310105	0.3644075614
252	0.8158472061	0.3639807233
253	0.8164924506	0.3636971717
254	0.8170086463	0.3634521379
255	0.8175248419	0.3632205084
256	0.8171376952	0.3630499337
257	0.8179119886	0.3628003181
258	0.8175248419	0.362596574
259	0.8176538908	0.3621953554
260	0.8177829397	0.3619081611
261	0.818815331	0.361657554
262	0.8198477223	0.3613793159
263	0.8206220157	0.361090201
264	0.8211382114	0.36076775
265	0.8213963092	0.3606801744
266	0.8221706027	0.3604379894
267	0.8219125048	0.3602223686
268	0.8220415537	0.3600057855
269	0.8224287005	0.3595603373
270	0.8226867983	0.3592208594
271	0.8229448961	0.359076636
272	0.8234610918	0.3588232098
273	0.8232029939	0.3583389623
274	0.8248806298	0.3579540776
275	0.8241063363	0.3577468138
276	0.8256549232	0.3575456514
277	0.8248806298	0.3571738141
278	0.8248806298	0.356962235
279	0.8248806298	0.3565790961
280	0.8256549232	0.3563250293
281	0.8265582656	0.3560300138
282	0.8266873145	0.3556109397
283	0.8268163634	0.3552066108
284	0.8270744612	0.3548827161
285	0.827332559	0.3546606393
286	0.8270744612	0.3543703316
287	0.8277197058	0.3540222994
288	0.8286230481	0.3537018802
289	0.828881146	0.353461486
290	0.8291392438	0.3531999812
291	0.8314621241	0.3529453814
292	0.8319783198	0.3526739457
293	0.8318492709	0.352388186
294	0.8319783198	0.3521518734
295	0.8323654665	0.3518359846
296	0.8324945154	0.351519689
297	0.8323654665	0.3514608541
298	0.8324945154	0.3511429485
299	0.8319783198	0.3510025904
300	0.8330107111	0.3508944456
301	0.83313976	0.3507476087
302	0.8335269067	0.3506707617
303	0.8333978578	0.3503596952
304	0.8336559556	0.3500447532
305	0.8335269067	0.3498440814
306	0.8346883469	0.3496603001
307	0.834559298	0.3494489069
308	0.8348173958	0.3492178627
309	0.8344302491	0.3489002411
310	0.8348173958	0.3486363306
311	0.834559298	0.3484356616
312	0.8346883469	0.348147203
313	0.8357207382	0.347913466
314	0.8363659827	0.3476784754
315	0.8361078849	0.3474456777
316	0.8372693251	0.347258316
317	0.8372693251	0.3471799755
318	0.837398374	0.3470416116
319	0.837398374	0.3467842878
320	0.8377855207	0.346531847
321	0.8381726674	0.3462356441
322	0.8384307653	0.3460438581
323	0.838817912	0.345711469
